	PD_whole_tree	chao1	observed_otus	shannon	simpson
700114832	12.87872	336.451612903	224.0	4.37271299502	0.894195074503
700033789	17.41756	664.9375	325.0	3.45364683477	0.796487119464
700110415	15.18174	416.317073171	278.0	3.1752776967	0.756217491124
700099121	20.31677	639.0	310.0	4.01274283338	0.746859397581
700108086	28.7437	1111.42857143	629.0	5.26138010029	0.943488964528
700110349	11.17775	346.161290323	231.0	4.60653490267	0.922493589423
700038736	12.44161	302.5625	191.0	3.39898293002	0.845942009579
700114649	12.45943	373.12	220.0	4.14989723134	0.890993775067
700016099	26.04856	713.047619048	422.0	5.48261801226	0.940028163778
700110808	14.73341	366.444444444	194.0	3.00322418935	0.665793738497
700037714	17.02389	572.5	317.0	2.65953531482	0.516540493451
700038795	17.53125	489.5	293.0	2.87402521901	0.647649707678
700102647	13.41884	324.666666667	173.0	0.820428510584	0.148419580753
700024001	15.2194	397.894736842	265.0	3.41608339756	0.737053632696
700107977	10.33359	265.0	123.0	3.18401941786	0.712748786361
700102581	8.11341	133.368421053	112.0	1.93374609181	0.548304073216
700106052	12.05783	262.714285714	151.0	1.95621171685	0.512059845593
700024701	23.22345	722.5	406.0	4.03986041864	0.877758375084
700110748	22.60866	744.122807018	395.0	3.32718508913	0.791126965423
700107806	14.85678	451.0	241.0	3.24489548472	0.688604998075
700098589	27.79376	827.333333333	506.0	5.60256773046	0.952342055014
700097163	13.85497	502.09375	236.0	3.24662248924	0.691764239745
700100647	15.69677	447.0	237.0	2.58032000668	0.580920417926
700099617	26.35307	872.886075949	648.0	6.02501251603	0.957103050926
700111604	24.19535	875.125	574.0	7.22529208988	0.98676032562
700037732	21.75869	763.857142857	538.0	6.19366385178	0.961240739115
700016059	29.52675	1150.45	798.0	7.58107379962	0.987441730429
700038938	28.31838	961.220779221	687.0	7.24418075003	0.984298124416
700110746	21.91491	814.314606742	621.0	6.38219535569	0.9736435889
700105705	24.88404	847.353846154	605.0	7.30765906322	0.987322441862
700103623	26.7076	953.697368421	595.0	6.94248439533	0.982214318189
700106916	14.35879	501.679245283	378.0	5.73351726852	0.954382261172
700111532	26.0778	918.5	578.0	6.75258031737	0.974488009909
700114747	30.88514	1127.57142857	791.0	7.58750692583	0.986930954103
700102924	27.14814	943.446808511	607.0	6.64419003689	0.975939732974
700114854	27.5385	1003.33333333	749.0	7.38159722818	0.982591961252
700095429	35.18454	1404.90909091	801.0	6.83012542892	0.974435319367
700106617	18.52204	517.171428571	370.0	6.57928762125	0.975241003005
700016374	34.01218	1251.74285714	936.0	8.10732696868	0.992955763389
700038978	65.83581	2434.42105263	1469.0	7.62184913279	0.984488812278
700038998	30.98869	1169.84070796	799.0	5.72335828502	0.943259260307
700016333	31.2401	1062.34653465	826.0	7.55015787056	0.983571651563
700110689	26.3064	913.866666667	663.0	6.74390818832	0.970520860415
700037702	24.67006	725.875	502.0	4.63280574877	0.912023845998
700014994	30.85586	960.4	721.0	7.31496635756	0.986394455254
700103587	24.87263	915.373626374	631.0	7.15884218429	0.98020177423
700105480	7.14214	175.714285714	105.0	3.17965735013	0.692239866371
700111841	19.25443	653.123076923	450.0	6.38388175495	0.972775839023
700023477	54.64593	2193.61052632	1319.0	7.79430596259	0.984546602229
700114444	9.90453	211.619047619	146.0	2.86103786756	0.734487249834
700109608	20.52448	636.5	422.0	6.87790984555	0.982317576281
700109551	19.31666	702.518518519	455.0	6.27483118176	0.972551882488
700034196	20.1497	543.202702703	406.0	5.95919052419	0.929141860004
700101269	22.97096	778.513513514	551.0	6.65897669474	0.977874686218
700103517	22.38713	632.125	452.0	6.49316363081	0.97560712496
700099408	24.91053	924.614285714	571.0	6.87192193582	0.980377348324
700034934	24.42853	704.862068966	463.0	6.08965360434	0.934867024999
700108145	25.36674	755.62295082	382.0	4.66299640177	0.909895372042
700035264	18.65657	633.6	376.0	5.95757419721	0.955590314392
700032671	13.29946	496.65	306.0	6.05973240773	0.956189943467
700097718	24.78645	854.233333333	589.0	6.70827780295	0.972897231355
700035184	20.93385	629.0	440.0	6.83778768342	0.980333003565
700097781	15.48803	468.227272727	314.0	5.81936479215	0.948539383126
700112030	17.52501	504.027027027	342.0	6.21320238792	0.972921546227
700102895	14.15364	385.303030303	223.0	4.11159317462	0.875767950653
700024097	21.4023	748.014492754	442.0	4.01906122637	0.867525249724
700107920	21.43361	710.0	375.0	5.01855755181	0.897733576079
700106563	16.01812	514.068965517	365.0	5.04834001273	0.94471743687
700106637	11.88749	297.97826087	231.0	2.90274684039	0.668311810994
700107864	16.3402	507.80952381	286.0	2.98211350622	0.752448962677
700097589	41.47163	1721.41935484	939.0	6.89857109934	0.9760064408
700023313	86.23652	3441.09248555	2290.0	8.62225297452	0.993134331194
700097650	47.8154	1848.7593985	1013.0	7.65354654683	0.984772743659
700114872	54.9776	1898.69398907	1217.0	5.56620167915	0.866696764137
700095235	26.7899	986.552238806	522.0	6.25747046485	0.971984696021
700103710	52.81795	2133.9804878	1295.0	7.4576778911	0.984305019786
700114818	39.45261	1471.36956522	896.0	6.58031087675	0.968682394276
700097859	30.99708	956.114942529	551.0	6.88779862607	0.975734394725
700103653	36.52631	1454.79816514	842.0	6.28330774398	0.963427603357
700101366	40.72601	1633.28037383	880.0	6.80441908624	0.971871938207
700013596	46.48468	1807.37209302	989.0	7.42301699984	0.987150235991
700097437	23.02716	817.0	472.0	6.34700674409	0.960588732254
700097313	42.23482	1744.51162791	989.0	7.54245773671	0.984634206645
700014956	57.60174	2537.08284024	1438.0	7.46720753258	0.981325747064
700114767	32.91248	1264.73469388	875.0	6.91835617611	0.977613836164
700023267	40.93716	1671.375	917.0	7.31789120679	0.984885826305
700038950	18.05188	622.6875	361.0	4.30189797784	0.886836569433
700108866	23.39825	747.672413793	473.0	6.63121388645	0.975123005302
700024149	20.37423	670.784313725	399.0	4.76763020088	0.892293283336
700103303	15.91574	494.214285714	256.0	3.95340625555	0.851745650237
700016405	21.01558	898.661764706	508.0	6.0849209773	0.965065240976
700101335	22.95037	764.040540541	539.0	6.9220023569	0.983695631404
700099539	24.36906	677.225352113	482.0	6.55829564332	0.97115536921
700111775	22.81229	695.987341772	512.0	6.83564492929	0.978942228435
700032252	22.71093	842.614457831	539.0	6.31830904307	0.95624059673
700108266	20.79151	723.794520548	483.0	5.74422782089	0.9471913549
700097477	10.98421	319.882352941	161.0	3.99328549785	0.883454520233
700114637	16.27087	506.234042553	336.0	6.03150368723	0.964704263152
700102995	19.19559	590.111111111	430.0	7.05313937228	0.981580076739
700095275	10.40573	253.55	159.0	3.7589093046	0.87565840815
700106089	10.91198	217.5	168.0	3.34108866326	0.825744396105
700034228	8.35159	86.0	66.0	2.52098832854	0.747410901034
700035697	3.92497	80.1	63.0	3.29001963476	0.852831794809
