	shannon	simpson	chao1	PD_whole_tree
SRR040576	7.15635145313	0.975306	709.863013699	20.56366
SRR040577	5.18777809116	0.9365485	364.433333333	8.82283
SRR040578	4.92997201483	0.9323175	249.071428571	7.98181
SRR040579	7.75056781357	0.9914995	663.333333333	19.24736
SRR040580	7.42674970325	0.987967	722.507042254	14.67034
SRR040581	5.77152383927	0.95924	304.5	10.61533
SRR040582	6.73920574246	0.9806365	416.125	10.5552
SRR040583	7.58331311788	0.9889915	670.649350649	17.1534
SRR040584	5.47896169604	0.9604955	258.473684211	7.32299
SRR040585	7.70995849638	0.9907015	724.777777778	16.89949
SRR040586	6.03604956323	0.969041	272.24137931	6.24498
SRR040587	7.91764748813	0.9897545	912.116504854	23.42707
SRR040588	5.00791413039	0.937551	194.0	7.15633
SRR040589	7.56528334169	0.9889255	656.630136986	15.8063
SRR040590	6.85765324667	0.976973	747.560606061	19.76474
SRR040591	3.44202316001	0.7415675	155.5	4.32485
SRR040592	5.34836147889	0.9588075	197.0	4.82666
SRR040593	5.96647567423	0.9667915	314.652173913	8.01359
SRR040594	5.45772060455	0.95828	186.555555556	6.18891
SRR040595	6.78156430279	0.979531	448.158730159	13.53612
SRR040597	7.66131025108	0.9914785	669.75	16.50152
SRR040598	6.36245419328	0.971591	617.117647059	17.13489
SRR040599	7.56698221501	0.9896635	801.022727273	16.08109
SRR040600	7.623220394	0.99008	708.0	16.35487
SRR040601	5.3124770828	0.9578275	115.272727273	3.983
SRR040602	4.69810067412	0.9315095	135.333333333	5.23926
SRR040603	7.22022552698	0.985014	618.01754386	15.84962
SRR040604	7.68921056921	0.989607	825.571428571	21.91664
SRR040605	3.74605953179	0.810406	108.909090909	3.35354
SRR040606	5.95788292225	0.967843	263.322580645	7.17018
SRR040607	4.7370187495	0.9335715	158.25	5.96497
SRR040608	6.14734416877	0.9732165	276.46875	7.90002
SRR040609	7.01031277641	0.978697	793.424242424	20.66961
SRR040610	4.68748027106	0.9241145	203.083333333	6.14548
SRR040611	4.17915668378	0.9156885	89.1	7.88948
SRR040612	5.23033742034	0.938778	302.529411765	9.39213
SRR040613	5.68071674649	0.9514895	289.12	7.52328
SRR040614	3.82660184434	0.895161	77.0	7.50823
SRR040615	5.81775945331	0.96569	265.615384615	5.97095
SRR040616	5.70120834218	0.9620915	442.285714286	11.00505
SRR040617	6.85767768498	0.9835975	414.895833333	10.69281
SRR040618	5.33590428924	0.937551	294.0625	9.77799
SRR040619	4.79007192003	0.9284125	122.166666667	3.80788
SRR040621	5.90520735911	0.9703565	310.0	10.06893
SRR040622	5.97359461602	0.96435	304.28125	8.55078
SRR040623	3.84870187942	0.894994	91.2727272727	8.44673
SRR040624	5.68794245348	0.9596395	225.0	6.19074
SRR040625	5.32574868934	0.9577105	141.909090909	4.29256
SRR040626	5.61704030194	0.961846	240.24137931	6.75604
SRR040627	7.64800082476	0.989642	726.863013699	16.67575
SRR040628	5.64194799394	0.965052	353.615384615	10.01016
SRR040629	7.39006054083	0.9822395	712.568181818	18.21479
SRR040630	6.8448013529	0.978354	518.630434783	13.44178
SRR040631	6.68763772174	0.9790835	502.734693878	12.56205
SRR040632	7.89987197275	0.9909	769.981132075	19.91367
SRR040633	6.62484199181	0.976836	373.0	12.65489
SRR040634	7.64173357653	0.991172	681.083333333	17.51681
SRR040635	5.21198643534	0.955753	150.6	5.13783
SRR040636	7.7215475887	0.988459	703.78125	17.1531
SRR040637	4.62212617982	0.912192	137.157894737	5.92183
SRR040638	7.94071554569	0.99235	700.779069767	18.24383
SRR040639	5.38208627591	0.958468	245.230769231	9.27856
SRR040641	6.56562667686	0.9760755	525.243243243	13.67331
SRR040642	6.10264554431	0.9695855	356.25	11.23216
SRR040643	5.39130675599	0.959799	271.428571429	6.81127
SRR040644	6.81748698589	0.9775675	510.666666667	14.68638
SRR040645	5.75307613281	0.9641425	378.666666667	10.28
SRR040646	7.93726531389	0.9914555	932.441176471	23.57478
SRR040647	3.88554382322	0.901189	80.5	7.51122
SRR040648	4.56341672055	0.9187335	137.625	5.10266
SRR040649	5.16313843598	0.9490985	249.142857143	7.31519
SRR040650	8.10297036595	0.9930675	837.990566038	19.70881
SRR040651	3.78797574379	0.817602	91.4	2.53402
SRR040653	5.66091629078	0.952498	317.956521739	10.46126
SRR040654	7.63551530908	0.9874235	762.383561644	16.66989
SRR040655	4.99167318004	0.9264015	132.230769231	5.64352
SRR040656	7.34250427478	0.9876115	669.142857143	13.78776
SRR040657	7.55391501331	0.9889195	722.438356164	17.0925
SRR040658	7.9256962261	0.9891465	931.662650602	21.80845
SRR040659	6.8629361236	0.981189	814.272727273	18.40674
SRR040660	7.95270393302	0.991484	909.479166667	22.34367
SRR040661	7.15769242491	0.9852765	550.266666667	13.9307
SRR040662	3.64324737378	0.806057	156.75	2.32758
SRR040663	7.82195486989	0.99273	785.375	19.17711
SRR040664	6.67275679735	0.979008	555.47826087	13.17935
SRR040665	3.73758862969	0.8075245	108.235294118	2.98864
SRR040667	4.65534821072	0.9132055	123.25	3.72123
SRR040668	5.90327629195	0.9244365	580.552631579	13.05545
SRR040669	4.60604188123	0.9087755	144.0	4.47944
SRR040670	7.66211631481	0.990469	745.0	17.5892
SRR040671	5.94272679225	0.926046	505.769230769	13.288
SRR040672	7.18099435916	0.9834805	639.873015873	16.58643
SRR040673	5.34043755526	0.9597785	118.230769231	4.38654
SRR040674	5.19995737302	0.9556785	164.428571429	5.63032
SRR040675	5.34004342284	0.9574205	238.363636364	9.10028
SRR040676	5.03839742098	0.9298805	269.615384615	7.52387
SRR040677	7.42786245341	0.98258	694.8	18.66753
SRR040678	5.51749127065	0.960146	290.538461538	10.24605
SRR040679	7.63775267937	0.9882445	686.48	16.89465
SRR040680	4.18040857053	0.9151265	99.5454545455	8.35365
SRR040681	3.71625013751	0.777794	166.571428571	6.07474
SRR040682	5.95681586604	0.96866	320.833333333	11.06034
SRR040683	5.35416592629	0.9526345	253.84	9.82329
SRR040684	5.49107595347	0.9373105	291.081081081	7.87327
SRR040685	4.84340967383	0.927529	146.176470588	5.05297
SRR040686	7.63965711863	0.989482	827.077922078	17.71301
SRR040687	3.76752445512	0.815459	116.058823529	3.22052
SRR040688	5.231937228	0.94319	166.052631579	7.56263
SRR040689	6.12785879498	0.9718985	300.0	8.40697
SRR040692	5.67375502609	0.951296	299.625	6.23373
SRR040693	7.8203507021	0.991807	696.975903614	17.23828
SRR040694	8.42136167764	0.994957	913.893203883	21.47605
SRR040695	7.13091594935	0.9874685	456.566037736	12.66839
SRR040696	7.59612082341	0.9881515	684.444444444	15.15987
SRR040697	5.81086534158	0.971327	203.714285714	7.01944
SRR040698	7.07598939996	0.977131	736.708333333	19.9434
SRR040699	8.30167937148	0.994465	795.857142857	22.73223
SRR040700	8.43202774346	0.9941535	897.87804878	22.97576
SRR040701	8.57120330058	0.9952125	877.225806452	22.32499
SRR040702	5.66718657918	0.965975	207.25	8.23549
SRR040703	6.3527052709	0.971647	585.133333333	14.54787
SRR040704	7.76821963516	0.9902005	795.481481481	18.38895
SRR040705	7.45674204757	0.9785615	793.530120482	19.14205
SRR040707	4.77008496647	0.922451	126.375	4.61242
SRR040708	6.95375393009	0.987165	368.65	8.15422
